ion#, endposx (mm), endposy (mm), endposz (mm), endvelx (mm/usec), endvely (mm/usec), endvelz (mm/usec)
104,591.74759789887,-4.2192453198667,-3.9891243351365,2381.2421659394,-2.7019882705399,-2.5037256147128
105,591.74758235661,-2.6440427125267,-0.50622257827629,2377.5403986106,-4.3630510534521,-1.2909356465904
106,591.74755011,2.4528086848006,-5.1435938957487,2380.1307904903,2.2532852530381,-5.6719388105796
107,591.74757107013,3.2224836786898,1.1538208327817,2377.9120722308,4.9929561579581,1.3642879176123
108,591.74757669096,3.1254333281326,0.15921924602429,2377.7537768666,4.8597723782715,-0.080831245787417
109,591.74760448354,0.60114442082235,2.5189089039823,2377.5249104717,0.96599453928033,3.145972745412
110,591.74758504719,-5.7904244173538,0.66820376144526,2381.0241389784,-4.3161678869242,0.80409522211359
111,591.74754712854,3.2268604339821,3.2644567158535,2378.6510269597,4.9254207217682,3.7378767179143
112,591.74754243534,-4.5551248989979,1.5668887063238,2378.8556043257,-6.1567098768292,1.8238812703391
113,591.74757498514,3.0747520654974,1.2727527335112,2377.8539493643,4.788216894987,1.5205113672038
114,591.7475497357,3.6716682349173,2.1178256409543,2378.354808803,5.5167459725374,2.5795767770844
115,591.7475425403,2.7188240015257,3.5009449150324,2383.7328116619,-2.4235605198068,-5.9146653836803
116,591.74755944099,2.865174038877,2.9799230113002,2378.2756429049,4.4730360480397,3.5381651981829
117,591.74755134934,2.7629375324965,4.4358171031058,2379.3037974946,4.2786251187123,4.3243843175897
118,591.74760001979,1.632086558537,-1.3987765255594,2377.3703543885,2.3809249822433,-2.5202640767474
119,591.74760360841,1.3395851359687,1.9423835002206,2377.4430798477,2.09123492268,2.3792127319626
120,591.7475362586,1.6913827202585,-4.5656571634302,2378.8787224743,2.0815593724911,-6.373216729178
121,591.74758541518,2.3381300529587,-1.553287938674,2377.6019943265,3.4779198680526,-2.7267174898938
122,591.74754013486,4.2929945012127,1.3566425424943,2378.5736210304,6.2392939103059,1.6130223746683
123,591.74759011621,2.5348906828949,-0.76292759248594,2377.5371923553,3.8682439954907,-1.5066964259217
124,591.7475496697,1.5892048892886,-3.8414114897237,2378.2527220581,2.1186491887889,-5.813124613336
125,591.74754393666,2.74404668759,-3.4016993797234,2378.4244556358,3.6737591748044,-5.1431880367006
126,591.74756978588,-3.6126833085369,-2.8086296164945,2383.5128138222,4.0372389127776,3.3160502928698
