PE (V):8000, 3rd Electrode (V):4000, x_width (mm):0, y_height (mm):0, 1st Solenoid wire current (A):5.848292590887, 2st Solenoid wire current (A):0.15890097727815
ion#, endposx (mm), endposy (mm), endposz (mm), endvelx (mm/usec), endvely (mm/usec), endvelz (mm/usec)
62,1004.9733863073,1.0548900521303,-3.8910665701021,1231.7770156327,3.4595146337388,-12.766360614475
63,1004.9077103536,13.105242348401,11.144731658018,1232.5406840238,41.127210971086,34.968061831185
64,1004.9776328599,-2.8015705748742,14.957970131091,1231.9024462328,-8.9976260491176,48.062486318149
65,1004.9462493829,2.6667009456046,0.56759651005723,1231.7822994724,8.7550998895466,1.8626825468683
66,1004.9655859843,-12.050713638634,-2.8214821818746,1231.7544525501,-39.114814436156,-9.154650839839
67,1004.967590012,-7.0905408938279,11.226628174732,1231.7787093958,-22.954262817286,36.350908465473
68,1004.9787074282,7.3820511469143,4.1061250989632,1231.7425094005,24.12824846676,13.418308456305
70,1004.9426462199,-2.0686728100131,1.7947124004691,1231.7821658588,-6.7909591046697,5.8929407163196
71,1004.9198720944,-1.3292849150917,8.8733824392372,1231.7390421838,-4.3394847126078,28.985491822708
72,1004.9429030565,-8.9464549168139,12.529555600292,1231.9253382795,-28.716478133253,40.225143219263
73,1004.9971371211,-5.6397972102815,8.6840802016858,1231.7380650925,-18.377951424321,28.303308457382
74,1004.9864197442,8.4489569205214,-6.0460417170673,1231.7374948608,27.53307300416,-19.705934250155
75,1004.9545288943,-3.0432514098508,-9.0153390810356,1231.7369267444,-9.9349249607841,-29.423173240021
76,1004.9345586169,11.143397093906,12.183858166006,1232.1332840793,35.469899269991,38.774872749521
77,1004.9140317694,-4.5563554674125,-10.823193183344,1231.7463153647,-14.815447718266,-35.183999472205
78,1004.9855144092,4.0310201762428,-7.7734724726107,1231.7426440053,13.167430610329,-25.397611662633
79,1004.9431654917,-0.79997250291715,-14.35079423998,1231.8334306137,-2.5845443255915,-46.290233677603
80,1004.9835885373,-9.4356722326112,-2.4530192978661,1231.7382268437,-30.783593987358,-8.0002504391324
81,1004.9576394103,14.675960004908,-8.4450046108451,1232.2968872708,46.423853046346,-26.719217126969
