X [m], Y [m], Z [m], MagneticFluxDensity X [T], MagneticFluxDensity Y [T], MagneticFluxDensity Z [T]
0.180592, -0.0012679, 0.00375068, -0.020155, 0.00136896, -0.00246937
-0.03, -0.00494975, -0.00494975, -0.00506538, -0.00137359, -0.00051488
-0.0210035, -0.00507159, -5.30183e-05, -0.0100141, -0.00163674, -0.000227994
-0.03, -0.00426133, -0.00555347, -0.00527026, -0.00118184, -0.000563355
-0.0260751, -0.00507159, -5.30183e-05, -0.00724142, -0.00116719, -0.000133955
-0.0255017, -0.00501067, -0.00250138, -0.00746514, -0.0011983, -0.000559558
-0.0255017, -0.00466646, -0.00280325, -0.00748212, -0.00139939, -0.00052173
-0.03, -0.00460554, -0.00525161, -0.00508916, -0.00141994, -0.000450728
-0.0280375, -0.00501067, -0.00250138, -0.0060453, -0.00107465, -0.000505163
-0.0235393, -0.00507159, -5.30183e-05, -0.00861352, -0.00140573, -0.000145438
-0.0280375, -0.00466646, -0.00280325, -0.00609643, -0.00113834, -0.000428871
-0.0133219, -0.00426133, -0.00555347, -0.0190536, -0.00148982, -0.00378692
-0.0159441, -0.0035, -0.00606218, -0.0154656, 0.000291139, -0.0065184
-0.0155386, -0.00477536, -0.00220183, -0.0155879, -0.00220361, -0.00186421
-0.0159319, 0, -0.00512461, -0.0160944, -0.0010406, -0.00453659
-0.014633, -0.00388067, -0.00580783, -0.0172632, -0.000429872, -0.00477495
-0.0157413, -0.00413768, -0.004132, -0.0155749, -0.00125642, -0.00353851
-0.0144302, -0.00451835, -0.00387765, -0.0168434, -0.00157428, -0.00272997
-0.0146269, -0.00213067, -0.00533904, -0.017571, -0.000975827, -0.00535721
-0.015938, -0.00175, -0.00559339, -0.0157419, -0.000681049, -0.00574797
-0.0157352, -0.00238768, -0.00366322, -0.0157744, -0.00128244, -0.00353375
-0.0133219, -0.00426133, -0.00555347, -0.0190536, -0.00148982, -0.00378692
-0.0130617, -0.00494975, -0.00494975, -0.0188921, -0.00235343, -0.00357908
-0.0155386, -0.00477536, -0.00220183, -0.0155879, -0.00220361, -0.00186421
-0.0176726, -0.00426133, -0.00555347, -0.0123911, -0.000590766, -0.00362632
-0.0131918, -0.00460554, -0.00525161, -0.0189259, -0.00194441, -0.0036504
-0.0143001, -0.00486256, -0.00357579, -0.0171674, -0.00203814, -0.00268592
-0.0144302, -0.00451835, -0.00387765, -0.0168434, -0.00157428, -0.00272997
-0.0154973, -0.00426133, -0.00555347, -0.0160758, -0.00054506, -0.00420482
-0.0153672, -0.00460554, -0.00525161, -0.0160968, -0.00129862, -0.00398191
-0.0166056, -0.00451835, -0.00387765, -0.0145176, -0.00145343, -0.00319591
-0.0133219, -0.00426133, -0.00555347, -0.0190536, -0.00148982, -0.00378692
-0.0110884, -0.0035, -0.00606218, -0.0228157, -0.00158776, -0.00700693
-0.0159319, 0, -0.00512461, -0.0160944, -0.0010406, -0.00453659
-0.0108603, -0.00507159, -5.30183e-05, -0.0220075, -0.00434305, -2.07378e-05
-0.0122051, -0.00388067, -0.00580783, -0.0208221, -0.00170562, -0.0044106
-0.0135101, -0.00175, -0.00559339, -0.0193651, -0.000103904, -0.00902937
